YEAR,MONTH,NPGO
1950,1,-2.1884
1950,2,-1.4458
1950,3,-0.9650
1950,4,-0.8588
1950,5,-0.6341
1950,6,-0.5810
1950,7,-0.7421
1950,8,-0.5494
1950,9,-0.6015
1950,10,0.1194
1950,11,-0.2571
1950,12,-0.4934
1951,1,-0.4785
1951,2,-0.4138
1951,3,-0.5695
1951,4,-0.5611
1951,5,-1.0714
1951,6,-1.4352
1951,7,-1.1039
1951,8,-1.1749
1951,9,-1.4195
1951,10,-1.0694
1951,11,-1.0120
1951,12,-1.2247
1952,1,-1.3351
1952,2,-1.0910
1952,3,-0.6695
1952,4,-0.4337
1952,5,-0.6265
1952,6,-0.9727
1952,7,-1.3356
1952,8,-0.8974
1952,9,-0.5826
1952,10,-0.2578
1952,11,-0.3162
1952,12,0.8451
1953,1,0.9440
1953,2,0.7480
1953,3,1.2173
1953,4,1.2502
1953,5,1.2707
1953,6,1.0567
1953,7,1.0408
1953,8,0.6189
1953,9,0.2907
1953,10,1.0815
1953,11,2.0496
1953,12,1.4190
1954,1,1.0940
1954,2,1.1565
1954,3,0.0794
1954,4,-0.3725
1954,5,-0.1640
1954,6,0.1784
1954,7,-0.0352
1954,8,-0.1315
1954,9,-0.2628
1954,10,0.1838
1954,11,0.3547
1954,12,0.4041
1955,1,0.3262
1955,2,-0.2493
1955,3,-0.2160
1955,4,0.0407
1955,5,0.2614
1955,6,-0.0159
1955,7,-0.0880
1955,8,0.2745
1955,9,-0.1102
1955,10,-0.5242
1955,11,-0.0800
1955,12,-0.5180
1956,1,0.1203
1956,2,-0.1380
1956,3,0.0230
1956,4,-0.0382
1956,5,0.1420
1956,6,0.4711
1956,7,0.4639
1956,8,0.5398
1956,9,0.3006
1956,10,-0.0515
1956,11,-0.2263
1956,12,-0.7672
1957,1,-1.2716
1957,2,-1.9587
1957,3,-1.3394
1957,4,-1.2554
1957,5,-1.0382
1957,6,-1.1682
1957,7,-0.7559
1957,8,-0.9054
1957,9,-0.9222
1957,10,-1.0286
1957,11,-1.4074
1957,12,-0.7166
1958,1,0.1166
1958,2,0.1466
1958,3,-1.1517
1958,4,-0.7194
1958,5,-0.8510
1958,6,-0.7234
1958,7,-0.8696
1958,8,-0.6288
1958,9,-0.2044
1958,10,-0.5088
1958,11,-0.7745
1958,12,-0.4052
1959,1,0.1228
1959,2,-0.5906
1959,3,-0.3921
1959,4,-0.4513
1959,5,-0.4378
1959,6,-0.3732
1959,7,-0.3965
1959,8,-0.5044
1959,9,0.0727
1959,10,0.1341
1959,11,-0.0480
1959,12,0.4228
1960,1,1.0164
1960,2,0.8186
1960,3,0.8633
1960,4,0.7935
1960,5,0.9189
1960,6,0.3131
1960,7,0.7092
1960,8,0.4379
1960,9,0.5240
1960,10,0.4885
1960,11,0.9534
1960,12,1.1361
1961,1,1.1032
1961,2,1.3594
1961,3,1.7494
1961,4,0.9572
1961,5,1.4002
1961,6,1.2018
1961,7,1.0627
1961,8,1.0746
1961,9,0.7730
1961,10,0.3487
1961,11,0.2206
1961,12,0.3974
1962,1,0.1748
1962,2,-0.1498
1962,3,-0.6077
1962,4,-0.4714
1962,5,-0.7390
1962,6,-0.3044
1962,7,-0.0621
1962,8,-0.3706
1962,9,0.3342
1962,10,0.1642
1962,11,0.4456
1962,12,0.4651
1963,1,-0.8129
1963,2,-0.2800
1963,3,-1.0966
1963,4,-0.8106
1963,5,-0.4282
1963,6,-0.7162
1963,7,-0.3667
1963,8,-0.1346
1963,9,0.1198
1963,10,0.5071
1963,11,0.6611
1963,12,0.5410
1964,1,1.0729
1964,2,0.2925
1964,3,0.3517
1964,4,0.2502
1964,5,0.2719
1964,6,0.8841
1964,7,1.6040
1964,8,0.7819
1964,9,0.9126
1964,10,0.7127
1964,11,0.0744
1964,12,-0.6794
1965,1,-0.6093
1965,2,-0.8375
1965,3,-0.9426
1965,4,-0.8794
1965,5,-1.1592
1965,6,-0.8303
1965,7,-0.6922
1965,8,-0.4440
1965,9,-0.8571
1965,10,-0.6830
