LAT,LONG,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
21N,107W,1946,14,-10,-38,-81,-26,-10,-5,-5,12,5,6,-31
21N,107W,1947,-1,-5,-64,-47,-76,-22,-2,-5,-3,7,-5,-14
21N,107W,1948,-24,-21,32,-50,-26,6,-3,-3,4,-9,-15,-15
21N,107W,1949,-11,-32,-60,-54,-64,-30,-3,-6,-20,6,-32,-2
21N,107W,1950,-7,-26,-63,-72,-11,-28,-21,0,15,-38,-15,-26
21N,107W,1951,-2,1,-44,47,14,13,-3,-24,3,1,-6,1
21N,107W,1952,-18,-30,-3,-62,-61,-39,-18,-5,-17,-26,4,23
21N,107W,1953,-9,-31,-39,-23,21,-22,-3,-9,-19,-4,-5,20
21N,107W,1954,4,-22,20,-66,-28,-26,-12,-4,-47,5,1,0
21N,107W,1955,31,9,5,136,118,29,-4,21,14,12,15,-2
21N,107W,1956,-13,82,-14,86,-1,-14,5,11,-4,6,-7,-2
21N,107W,1957,-12,-23,39,60,129,67,4,-1,13,8,45,-17
21N,107W,1958,-18,6,106,122,-38,10,-1,20,-13,4,-5,-9
21N,107W,1959,9,5,24,18,148,39,35,30,29,20,1,-1
21N,107W,1960,23,138,64,-45,-16,-32,-4,1,-33,4,-6,3
21N,107W,1961,-15,-21,18,-61,-39,-20,-7,-7,4,-8,5,6
21N,107W,1962,0,-14,-4,-90,-9,-2,1,-5,-11,8,-4,9
21N,107W,1963,13,-21,-21,22,-46,6,-2,3,11,-12,10,1
21N,107W,1964,41,54,88,53,-7,23,0,6,21,6,30,6
21N,107W,1965,0,-14,-25,-53,-16,11,7,-5,17,3,1,-6
21N,107W,1966,-11,-15,-79,-87,-71,-4,28,0,17,6,-8,15
21N,107W,1967,13,-18,-44,117,3,8,8,-15,24,-1,-9,2
21N,107W,1968,-22,-21,-52,91,27,29,-2,-3,14,5,20,7
21N,107W,1969,20,64,11,10,-1,133,5,-9,-20,14,-7,17
21N,107W,1970,41,-15,73,112,5,19,-2,-3,10,25,-29,0
21N,107W,1971,24,3,-45,-14,29,27,5,-6,10,15,16,44
21N,107W,1972,68,47,31,17,-13,58,1,-6,28,6,30,18
21N,107W,1973,21,13,66,16,21,44,13,5,42,13,11,25
21N,107W,1974,13,21,-16,-47,38,-17,1,-5,19,4,-3,29
21N,107W,1975,1,8,-56,-25,13,-11,-1,-6,9,11,20,18
